subject,content,question,alternative_a,alternative_b,alternative_c,alternative_d,alternative_e,correct_answer,answer_explanation,type,year,number,has_image
Matemática,Álgebra,Qual é a solução da equação x + 3 = 7?,2,3,4,5,6,B,Isole o x: x = 7 - 3 = 4. Atenção: a resposta correta é 4.,ORIGINAL,2024,1,false
Matemática,Geometria,Qual é a área de um retângulo de base 4 e altura 5?,9,16,20,25,30,C,Área do retângulo = base x altura = 4 x 5 = 20.,ORIGINAL,2024,2,true
Biologia,Genética,Qual é o objeto de estudo da genética?,Hereditariedade e genes,Movimento dos corpos,Ligações químicas,Ondas sonoras,Reações térmicas,A,A genética estuda a hereditariedade e a variação dos genes.,ORIGINAL,2024,3,false
Biologia,Ecologia,O que estuda a ecologia?,A estrutura dos átomos,As relações entre os seres vivos e o ambiente,O movimento dos planetas,As reações químicas,A formação das rochas,B,Ecologia estuda as interações entre organismos e o meio ambiente.,ORIGINAL,2024,4,false
Química,Química Orgânica,Qual é a principal característica da química orgânica?,Estudo dos metais,Estudo dos compostos de carbono,Estudo dos gases nobres,Estudo das rochas,Estudo da luz,B,A química orgânica é o estudo dos compostos de carbono.,ORIGINAL,2024,5,false
Física,Mecânica,O que a mecânica estuda?,O movimento dos corpos e suas causas,A composição das células,As reações ácido-base,A evolução das espécies,A estrutura dos governos,A,A mecânica estuda o movimento dos corpos e as forças envolvidas.,ORIGINAL,2024,6,false
Física,Óptica,Qual fenômeno explica a formação do arco-íris?,Condução térmica,Refração e dispersão da luz,Atração magnética,Fissão nuclear,Evaporação,B,O arco-íris resulta da refração e dispersão da luz solar nas gotas de água.,ORIGINAL,2024,7,true
História,Idade Média,Qual sistema econômico e social predominou na Idade Média europeia?,Capitalismo industrial,Feudalismo,Socialismo,Mercantilismo,Escravismo colonial,B,O feudalismo foi o sistema predominante na Europa medieval.,ORIGINAL,2024,8,false
Geografia,Climatologia,O que a climatologia estuda?,A formação do relevo,Os padrões de clima e suas variações,A distribuição da população,Os tipos de solo,As correntes migratórias,B,A climatologia estuda os climas e suas variações ao longo do tempo.,ORIGINAL,2024,9,false
Português,Crase,Em qual alternativa o uso da crase está correto?,Vou à escola,Refiro-me à você,Cheguei à pé,Entreguei à ele,Voltei à uma hora qualquer,A,A crase ocorre na fusão da preposição 'a' com o artigo 'a': vou à escola.,ORIGINAL,2024,10,false
